Tag,Description,ID,Type
10th Century,These Historical manga are set in the 10th century.,qWcUOflIGUCTmhIIr4nk9,theme
11th Century,These Historical manga are set in the 11th century.,f9o73gKct8bNSxEHac0tq,theme
12th Century,These Historical manga are set in the 12th century.,67XizB5WaFfVaLIAZO389,theme
13th Century,These Historical manga are set in the 13th century.,qd3I5E-uP2FQDnXqKedrR,theme
14th Century,These Historical manga are set in the 14th century.,8_FUSk5NH5anYqw1OXLX-,theme
15th Century,These Historical manga are set in the 15th century.,hBBfxXMK3_2CNCQf5t5yr,theme
16th Century,These Historical manga are set in the 16th century.,BESJo6u2fx2mAQ4U5Mbvz,theme
17th Century,These Historical manga are set in the 17th century.,oj7hOspvSnohqy6uDmS8Z,theme
18th Century,These Historical manga are set in the 18th century.,G_hSgQqlm50uOcpscxze5,theme
19th Century,These Historical manga take place in the 19th century.,ukN46esdG1l8d3Ey44J2f,theme
1P Comic,"1P comics are a type of 4-koma manga that presents four panels per comic strip, stacked on top of each other vertically. 1P comics include single strip per page.",GHthFcCppABKx-okOMBFM,theme
1st Century,These Historical manga take place in the 1st century.,Z2Z8go89T6zRqN-5-EMoz,theme
2nd Century,These Historical manga take place in the 2nd century.,KdoYKTms0S9Sg81CrqrYk,theme
3rd Century,These Historical manga take place in the 3rd century.,UTEaz4ssg1RzjDEXt5Yy8,theme
4-koma,"4-koma manga present four panels per comic strip that traditionally are the same size and stack on top of each other vertically. These titles are usually gag manga, with a single joke or self-contained story in each strip, and little to no continuity between the strips.",tB4Ui5aRWgAcndT2B7g4r,theme
4th Century,These Historical manga take place in the 4th century.,Zsvn2ltSpPH9_A03tbiCo,theme
5th Century,These Historical manga take place in the 5th century.,ma8bwLnkKHPjQ6TnHE3sP,theme
6th Century,These Historical manga take place in the 6th century.,m4zJuc4L8UNZzUow02msC,theme
7th Century,These Historical manga take place in the 7th century.,DIKi8iOlybCMbG92e8uxU,theme
8th Century,These Historical manga take place in the 8th century.,Ijqt39TQC8CM0fY3LQpC-,theme
9th Century,These Historical manga take place in the 9th century.,FXxzfeUQ5p9bEXYZ6SgLy,theme
